Ref,Val,Package,PosX,PosY,Rot,Side
"R34","1k","R_0603_1608Metric",41.000000,-134.325000,90.000000,top
"R35","27","R_0603_1608Metric",38.316637,-114.183363,45.000000,top
"R36","27","R_0603_1608Metric",37.283363,-113.116637,45.000000,top
"R37","27","R_0603_1608Metric",36.216637,-112.083363,45.000000,top
"R38","2k","R_0603_1608Metric",63.000000,-111.825000,-90.000000,top
"R39","2k","R_0603_1608Metric",64.500000,-111.825000,-90.000000,top
"SW2","SW_SPST","SW_PUSH_6mm",45.500000,-134.000000,0.000000,top
"U1","ADAU1452","LFCSP-72-1EP_10x10mm_P0.5mm_EP5.3x5.3mm",64.000000,-98.000000,45.000000,top
"U2","2305NZ","SOIC-8_5.23x5.23mm_P1.27mm",86.000000,-88.000000,90.000000,top
"U3","WeMos_D1_mini","WEMOS_D1_mini_light",86.360000,-121.920000,0.000000,top
"U4","~","PLT133-T10",35.560000,-61.050000,0.000000,top
"U5","LD1117S33TR_SOT223","SOT-223-3_TabPin2",109.000000,-86.000000,180.000000,top
"U6","24LC32","SOIC-8_5.23x5.23mm_P1.27mm",64.865000,-118.000000,90.000000,top
"U7","~","PLR135-T8",45.460000,-61.120000,0.000000,top
"U8","UM811TE","SOT-143",85.000000,-99.500000,0.000000,top
"U9","~","YSO110TR_SMD3225",71.000000,-111.414214,45.000000,top
"U10","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",31.143750,-119.300000,180.000000,top
"U11","LD1117S33TR_SOT223","SOT-223-3_TabPin2",31.000000,-141.149999,90.000000,top
"U12","12MHz","YSO110TR_SMD3225",33.050000,-107.250001,-90.000000,top
"U13","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",36.000000,-130.500000,-135.000000,top
